avg,elo,ff,loss
1008026,1401,118,155
1008094,1090,6,12
1008301,1036,63,75
1008910,1142,2,3
1009749,1387,24,86
1009829,913,7,7
1010083,1007,249,278
1010233,1195,22,27
1010875,1164,29,69
1011078,1251,12,21
1011082,1014,15,17
1011128,1283,15,18
1011250,1129,18,70
1011279,1085,35,37
1011707,1006,8,13
1012350,1194,136,233
1012440,1363,1,7
1012742,1153,94,101
1012850,1194,68,139
1012939,970,3,5
1013302,1103,165,209
1013454,1105,42,45
1013475,1133,58,72
1013639,1186,104,108
1013871,1321,82,111
1013876,1308,10,19
1014614,999,3,4
1014697,1121,14,20
1014890,1198,11,13
1015073,1162,21,51
1015163,1231,6,8
1015451,1052,66,93
1015615,951,14,14
1015633,1192,22,30
1015779,1126,21,29
1015839,1424,4,40
1016313,1324,217,310
1018274,1339,16,35
1018849,1241,5,27
1019453,1084,77,84
1019506,1357,13,13
1019596,1222,5,7
1020063,655,9,9
1020145,1291,51,65
1020261,1131,9,10
1020405,1162,37,245
1022247,1309,18,78
1022277,1155,4,7
1022328,1099,28,40
1022623,1158,47,115
1024111,1290,2,9
1024331,1066,23,31
1024498,1292,222,306
1024634,1240,111,134
1025188,1300,2,9
1025758,919,29,33
1025813,1164,11,17
1025895,1239,2,3
1026267,927,61,63
1026673,1200,2,4
1027431,1294,3,6
1028195,1112,12,23
1028410,1259,14,41
1028907,1075,19,23
1029310,1248,63,106
1029528,1160,13,27
1029781,1060,2,5
1030241,1154,4,6
1030945,1116,14,25
1031077,1189,2,4
1031377,912,170,204
1031773,1114,10,20
1031870,1091,15,16
1032039,1289,30,48
1032716,1232,73,98
1033628,975,1,2
1033717,1190,20,50
1034388,1317,22,34
1035009,1191,6,10
1035167,1108,36,40
1035178,1267,86,132
1035259,1238,29,47
1036681,1183,32,60
1036891,1097,11,13
1037211,817,15,16
1037311,1052,13,16
1037354,1299,53,87
1037904,1214,2,6
1038007,960,56,64
1038313,1215,9,24
1039133,1210,10,21
1039188,1263,3,12
1039932,1313,5,18
1040066,685,294,307
1040137,1350,5,11
