date,time,elo,bastion,ow
1680353063,1659110,1030,,RUINED_PORTAL
1680353349,881401,1429,,BURIED_TREASURE
1680353882,626107,1387,,RUINED_PORTAL
1680354135,1051297,1127,,VILLAGE
1680354156,764361,1633,,DESERT_TEMPLE
1680354183,1149124,1166,,DESERT_TEMPLE
1680354390,682867,1097,,DESERT_TEMPLE
1680354623,810281,1288,,DESERT_TEMPLE
1680354861,946499,1125,,SHIPWRECK
1680355196,960357,1096,,VILLAGE
1680355284,969028,1178,,SHIPWRECK
1680355318,733343,1431,,SHIPWRECK
1680380588,1081265,1143,,SHIPWRECK
1680380981,2389418,1040,,VILLAGE
1680381166,581324,1311,,RUINED_PORTAL
1680381286,902188,1223,,VILLAGE
1680381307,2736966,1052,,VILLAGE
1680381309,1092962,1098,,VILLAGE
1680381472,780962,1215,,BURIED_TREASURE
1680381727,1492472,1184,,VILLAGE
1680382022,1271899,1001,,VILLAGE
1680382220,883971,1237,,SHIPWRECK
1680382384,1167184,1251,,VILLAGE
1680382724,982245,1234,,VILLAGE
1680382734,1102833,1163,,VILLAGE
1680383011,1313487,892,,VILLAGE
1680383036,809002,1118,,VILLAGE
1680383055,861578,1281,,SHIPWRECK
1680383120,1258701,1198,,DESERT_TEMPLE
1680383149,717078,1456,,SHIPWRECK
1680383300,1138867,1075,,RUINED_PORTAL
1680383384,942185,1279,,SHIPWRECK
1680383388,1210299,1089,,VILLAGE
1680383398,1093950,1018,,SHIPWRECK
1680383785,1199923,,,DESERT_TEMPLE
1680384014,925896,998,,SHIPWRECK
1680384292,847105,1212,,BURIED_TREASURE
1680384576,807155,1324,,VILLAGE
1680384916,900301,1288,,SHIPWRECK
1680420895,894072,1448,,BURIED_TREASURE
1680420940,979720,,,SHIPWRECK
1680420983,992891,,,SHIPWRECK
1680421087,857531,1413,,RUINED_PORTAL
1680421212,1273256,974,,SHIPWRECK
1680421532,822460,1256,,BURIED_TREASURE
1680421717,654109,1649,,BURIED_TREASURE
1680422021,1072115,1279,,VILLAGE
1680422021,756173,1122,,VILLAGE
1680422023,991190,,,SHIPWRECK
1680422371,1316652,1068,,SHIPWRECK
1680422495,1181412,996,,DESERT_TEMPLE
1680422516,1366165,1154,,VILLAGE
1680422908,771662,1138,,VILLAGE
1680422955,836620,1395,,SHIPWRECK
1680423143,1066572,994,,VILLAGE
1680423260,848072,1257,,SHIPWRECK
1680423317,859400,1091,,SHIPWRECK
1680423488,895248,1166,,SHIPWRECK
1680424036,1062396,1158,,VILLAGE
1680424227,1029915,1110,,SHIPWRECK
1680424244,929159,1279,,DESERT_TEMPLE
1680424263,1046780,1117,,VILLAGE
1680424450,1069778,1098,,SHIPWRECK
1680424456,2154382,767,,DESERT_TEMPLE
1680425122,1035660,959,,VILLAGE
1680425192,901399,,,SHIPWRECK
1680425203,895982,1293,,BURIED_TREASURE
1680425707,621761,1298,,BURIED_TREASURE
1680426141,886276,1307,,VILLAGE
1680426232,1066940,1145,,SHIPWRECK
1680426341,1071595,924,,SHIPWRECK
1680426701,1007373,,,VILLAGE
1680426703,920427,1428,,BURIED_TREASURE
1680426995,1438681,1023,,VILLAGE
1680427152,1038043,1164,,DESERT_TEMPLE
1680427613,1940889,1095,,SHIPWRECK
1680455756,1248906,1103,,SHIPWRECK
1680455782,863072,1161,,SHIPWRECK
1680455877,688938,1379,,BURIED_TREASURE
1680456175,1767325,633,,VILLAGE
1680456217,906799,1638,,SHIPWRECK
1680456292,972867,1092,,DESERT_TEMPLE
1680456326,886134,1316,,SHIPWRECK
1680456345,952370,1277,,DESERT_TEMPLE
1680456491,761305,1343,,DESERT_TEMPLE
1680456596,913910,1058,,VILLAGE
